Green St & Madison Ave*,436
Green St & Madison St,437
Hale Ave & 111th St,438
Halsted St & 95th St - SE,439
Halsted St & 96th St,440
Halsted St & Polk St,441
Halsted St & Wrightwood Ave,442
Homan Ave & 26th St,443
Honore St & 87th St - SE,444
Honore St & Division St,445
Independence Blvd & Roosevelt,446
Jeffery Blvd & 81st St,447
Kedzie Ave & 54th St - SE,448
Kedzie Ave & Arthington St,449
Kedzie Ave & Harrison St,450
Kilbourn Ave & Fullerton Ave,451
Kildare Ave & 63rd St,452
King Dr & 83rd St,453
Kolin Ave & Archer Ave,454
Komensky Ave & 55th St,455
Kostner Ave & 16th St,456
Kostner Ave & North Ave,457
Kostner Ave & Wrightwood Ave,458
Laflin St &51st ST,459
Laramie Ave & Kinzie St,460
Leavitt St & North Ave,461
Lincoln Ave & Roscoe St*,462
Linder Ave & Archer Ave,463
Long & Irving Park,464
Loomis Blvd & 84th St,465
Loomis St & 89th St,466
Maplewood Ave & 63rd St,467
Marshfield Ave & 59th St,468
Meade Ave & Addison St,469
Michigan Ave & 119th St,470
Michigan Ave & Lake St,471
Mies van der Rohe Way & Chicago Ave,472
Milwaukee Ave & Diversey Ave,473
Morgan St & Lake St,474
Mozart St & Jackson Blvd,475
Mt Greenwood Library N,476
N Damen Ave & W Chicago Ave,477
N Southport Ave & W Newport Ave,478
Newcastle Ave & Belmont Ave,479
Newcastle Ave & Wellington Ave,480
Normal Ave & Archer Ave,481
Oketo Ave & Belmont Ave,482
Orange & Addison,483
Paulina Ave & North Ave,484
Paulina St & 18th St,485
Paxton Ave & 79th St,486
"Prairie Ave & 47th St ",487
Pulaski & 52nd,488
Pulaski Rd & 5th Ave,489
Pulaski Rd & 65th St,490
Pulaski Rd & Armitage Ave,491
Pulaski Rd & Flournoy St,492
Richmond St & 59th St,493
Rockwell St & 57th St,494
Roscoe & Harlem,495
Sangamon St & Washington Blvd,496
Sawyer Ave & 111th St,497
Sayre & Diversey,498
Southport Ave & Irving Park Rd,499
St Louis Ave & Norman Bobbins Ave,500
St. Clair St & Erie St,501
State St & 33rd St,502
State ST & 42nd St,503
State St & Van Buren St,504
Throop St & 58th St,505
Vernon Ave & 107th St,506
Vernon Ave & 75th St,507
Vincennes Ave & 95th St,508
W 103rd St & S Avers Ave,509
W Oakdale Ave & N Broadway,510
